,episode_name,userReviewsNum,storyLine,ratings_distribution,US_ratings,US_votenums,nonUS_ratings,nonUS_votenums,All_All_rating,All_All_totalVotesNum,All_<18_rating,All_<18_totalVotesNum,All_18-29_rating,All_18-29_totalVotesNum,All_30-44_rating,All_30-44_totalVotesNum,All_45+_rating,All_45+_totalVotesNum,Male_All_rating,Male_All_totalVotesNum,Male_<18_rating,Male_<18_totalVotesNum,Male_18-29_rating,Male_18-29_totalVotesNum,Male_30-44_rating,Male_30-44_totalVotesNum,Male_45+_rating,Male_45+_totalVotesNum,Female_All_rating,Female_All_totalVotesNum,Female_<18_rating,Female_<18_totalVotesNum,Female_18-29_rating,Female_18-29_totalVotesNum,Female_30-44_rating,Female_30-44_totalVotesNum,Female_45+_rating,Female_45+_totalVotesNum,keyWords
107,St. Patrick's Day,4,"It's St. Patrick's Day, and the CEO forces the office to work late because she won't leave. In addition, Michael unsuccessfully tries to suck up to his new boss, and Andy and Erin's first date is delayed because Erin is sick.","[491, 270, 1192, 1009, 287, 84, 25, 16, 9, 54]",7.6,701,7.5,1179,7.6,3437,7.5,10,7.6,817,7.5,1045,7.4,312,7.5,2020,8.1,6,7.6,699,7.5,912,7.4,244,7.6,308,7.5,2,7.7,101,7.4,121,7.8,67,"['how i met your mother', 'nbc', 'boyfriend girlfriend relationship', 'reference to pam beesly', ""st. patrick's day""]"
108,New Leads,3,"When the sales staff lets Sabre's new ""sales is king"" policy get to their heads, Michael hides their new, prized leads.","[502, 325, 1196, 913, 284, 93, 32, 13, 10, 54]",7.7,687,7.5,1179,7.6,3422,7.4,10,7.7,822,7.5,1026,7.5,303,7.6,1999,8.1,6,7.7,703,7.6,896,7.4,239,7.6,306,7,2,7.7,105,7.3,117,8.1,63,"['reference to casablanca', 'reference to m. night shyamalan', 'reference to johnny depp', 'nbc', 'husband wife relationship', '1 more']"
109,Happy Hour,10,"Oscar gets everybody in the office to go to Happy Hour so that he can hit on a coworker in shipping. Pam tries to set up Michael with a friend at the bar, but Michael's alter ego, ""Date Mike,"" threatens to spoil the entire evening.","[1071, 1177, 996, 414, 120, 38, 16, 10, 7, 58]",8.4,787,8.4,1296,8.5,3907,8.3,10,8.6,923,8.3,1162,8.1,328,8.5,2245,8.4,6,8.7,789,8.4,1010,8.1,261,8.2,339,7.5,2,8.5,112,8.1,139,8.3,66,"['husband wife relationship', 'boyfriend girlfriend relationship', 'gay crush']"
110,Secretary's Day,8,"Andy pulls out all the stops to give Erin a memorable Secretary's Day. Michael reluctantly takes Erin out to lunch and lets slip about Andy's relationship with Angela. Meanwhile, Oscar circulates a viral video he created that compares Kevin's voice to Sesame Street's Cookie Monster.","[502, 352, 1324, 842, 235, 65, 34, 10, 7, 51]",7.8,694,7.6,1172,7.7,3422,6.8,10,7.8,809,7.7,1043,7.5,299,7.7,1997,7.3,6,7.8,694,7.7,904,7.4,235,7.7,309,7,2,7.8,102,7.5,127,8,63,"['reference to madtv', 'reference to sesame street']"
111,Body Language,3,"Pam and Jim work on their first sales pitch together to Donna, the manager of a local restaurant. But Michael keeps misreading the signals she's putting out. Meanwhile, Dwight encourages Kelly to try out for the minority training program.","[582, 359, 1381, 745, 220, 54, 25, 9, 9, 54]",7.8,693,7.8,1172,7.8,3438,7.1,10,7.9,811,7.8,1038,7.7,310,7.8,2015,7.8,6,7.9,697,7.8,904,7.6,246,7.8,300,6.5,2,7.8,99,7.5,121,8.2,63,['husband wife relationship']
112,The Cover-Up,3,"Michael suspects Donna is cheating on him and puts P.I. Dwight Schrute on the case. Meanwhile, Andy is frustrated when no one takes his customer's complaint seriously.","[636, 536, 1430, 570, 164, 39, 16, 4, 4, 48]",8,690,8,1177,8,3447,7.9,10,8.2,820,7.9,1038,7.8,302,8,2004,8.4,6,8.2,701,7.9,905,7.8,235,7.9,310,6.5,2,8.2,104,7.7,121,8.2,66,['husband wife relationship']
113,The Chump,4,"Michael is surprisingly cheerful after learning some bad news about Donna. The new parents, Pam and Jim, have trouble staying awake in the office. Meanwhile, Angela takes matters into her own hands when Dwight refuses to honor their contract.","[489, 276, 1241, 880, 257, 74, 30, 15, 5, 48]",7.7,686,7.6,1130,7.6,3315,7.4,10,7.7,789,7.6,1000,7.5,302,7.6,1943,7.9,6,7.7,674,7.6,872,7.4,240,7.7,299,6,2,7.9,102,7.3,116,8,61,"['reference to the matrix', 'reference to beyonce', 'baseball', 'cake']"
114,Whistleblower,7,"The press finds out that Sabre's printers catch on fire. Jo shows up to the office in hopes of finding out who the whistleblower is. Everyone suspects Andy, who adamantly denies he leaked the information.","[601, 435, 1417, 636, 189, 46, 26, 7, 4, 53]",7.9,699,7.8,1170,7.9,3414,7.9,10,8,817,7.8,1015,7.8,316,7.9,2003,8.2,6,8,699,7.8,888,7.7,254,8,298,8.5,2,8.2,104,7.6,115,8.5,61,"['reference to david wallace', 'husband wife relationship', 'husband wife kiss', 'whistleblower', 'otter']"
115,Nepotism,3,"Michael refuses to fire the new office assistant after everyone complains about his bad attitude. Andy plays it cool after Erin shows interest in another man. Meanwhile, Pam tries to impress Jim by pulling an office prank of her own.","[945, 860, 1317, 508, 138, 46, 14, 4, 8, 61]",8.2,796,8.1,1295,8.2,3901,7.9,10,8.4,919,8.1,1176,8,353,8.2,2254,8.1,6,8.4,777,8.1,1015,8,277,8.2,373,9,2,8.5,125,8,149,8.3,75,"['reference to citizen kane', 'uncle nephew relationship', 'husband wife kiss', 'husband wife relationship', 'boyfriend girlfriend relationship', '11 more']"
116,Counseling,3,"Corporate assigns Michael to counseling with Toby. Dwight vows revenge on the Steamtown Mall after a shop owner snubs him. Meanwhile, Pam conspires to change her job title.","[722, 660, 1380, 502, 165, 43, 17, 5, 2, 49]",8.1,715,8,1181,8.1,3545,8.2,10,8.3,843,7.9,1053,7.9,311,8,2037,8.3,6,8.2,713,7.9,912,7.9,244,8.1,328,8,2,8.5,114,7.8,130,8.2,66,"['connect four', 'counseling']"
117,Andy's Play,5,Andy invites the entire office to his community theater production of Sweeney Todd in hopes that Erin will attend. Michael tries to put his jealousy aside and enjoy the performance while Jim and Pam struggle with their incompetent babysitter.,"[826, 719, 1342, 561, 157, 69, 23, 16, 7, 68]",8.1,778,8,1246,8.1,3788,7.7,10,8.3,893,7.9,1131,7.9,346,8.1,2180,8,6,8.3,757,7.9,975,7.8,270,8.2,355,9,2,8.4,120,8,141,8.2,75,"['reference to sweeny todd', 'reference to the hurt locker', 'reference to law and order', 'singing']"
118,Sex Ed,6,"Michael, believing he has herpes, contacts all his ex-girlfriends, including Jan and Holly. Andy tries to play on Erin's compassionate side by holding a sex education meeting for the office.","[567, 408, 1239, 791, 271, 83, 31, 18, 16, 61]",7.8,717,7.7,1178,7.7,3485,7.3,10,7.9,831,7.7,1062,7.6,313,7.7,2040,7.8,6,7.8,702,7.7,928,7.5,243,7.8,322,7,2,8,114,7.5,122,8.2,69,"['nbc', 'reference to holly flax', 'husband wife relationship', 'reference to herpes']"
119,The Sting,3,"When a competing sales associate steals a Dunder Mifflin client, Michael, Jim, and Dwight decide to set up a sting to find out his sales secrets. Andy decides to start a band after finding out a friend from college has a successful music career.","[517, 343, 1221, 863, 275, 86, 24, 16, 5, 52]",7.7,707,7.6,1156,7.7,3402,7.5,10,7.8,807,7.6,1035,7.5,313,7.7,1993,7.9,6,7.8,686,7.6,901,7.5,243,7.6,317,7,2,7.9,107,7.4,123,8,69,"['reference to josh duhamel', 'reference to steve nash', 'reference to the phoenix suns', 'reference to the nba']"
120,Costume Contest,2,"When Darryl takes an idea to corporate over his head, Michael freaks out. Everyone in the office is in a competitive mood as the Halloween costume contest gets underway. Meanwhile, Pam tries to get the truth out of Danny about their dating history.","[699, 602, 1392, 551, 156, 53, 16, 6, 5, 54]",8.1,724,8,1185,8.1,3534,7.5,10,8.2,846,8,1049,7.8,319,8,2042,7.6,6,8.2,711,7.9,913,7.7,249,8.3,332,8.5,2,8.4,117,8.1,125,8.6,69,"['halloween episode', 'halloween', 'halloween costume', 'popeye costume', 'bobbing for apples', '18 more']"
121,Christening,3,"Pam and Jim's baby, Cece, gets Christened and Michael invites the entire office to celebrate.","[499, 220, 935, 1103, 387, 159, 62, 26, 23, 107]",7.4,730,7.2,1183,7.3,3521,7.3,10,7.5,817,7.2,1070,7.3,327,7.3,2044,7.9,6,7.5,692,7.2,928,7.2,256,7.4,327,8,2,7.6,111,7.2,129,7.9,70,"['reference to the passion of the christ', 'reference to mean girls', 'bus']"
122,Viewing Party,3,"Erin and Gabe invite the office over for a ""Glee"" viewing party. Michael deals poorly with hearing people call Gabe his boss.","[580, 418, 1241, 794, 260, 81, 22, 16, 9, 54]",7.8,701,7.6,1179,7.7,3475,7.5,10,7.9,813,7.6,1056,7.5,305,7.7,2007,8.3,6,7.9,690,7.6,917,7.4,234,7.8,326,6.5,2,8,109,7.5,128,8,70,"[""reference to 'glee' the tv series"", 'vomiting']"
123,WUPHF.com,6,"Some co-workers who invested in Ryan's Internet venture want him to sell, but Michael refuses to go along. Meanwhile, Jim loses his motivation to work when he reaches his commission cap, and Dwight creates a hay festival in the parking lot.","[482, 300, 1168, 963, 293, 75, 21, 8, 7, 51]",7.6,678,7.5,1155,7.6,3368,7.5,10,7.7,811,7.5,1020,7.4,291,7.5,1964,8.1,6,7.7,690,7.5,890,7.3,227,7.7,305,7.5,2,7.9,108,7.4,119,8.1,63,"['reference to lord of the rings', 'hay', 'hay bale', 'hay bale maze', 'commission', '9 more']"
124,China,6,"After reading an article about China growing as a global power, Michael decides China must be stopped before they take over the US. Everyone in the office complains about Dwight's building standards and Pam threatens to move Dunder Mifflin to a new building.","[762, 607, 1364, 551, 156, 41, 14, 9, 5, 53]",8.1,697,8,1202,8.1,3562,8,9,8.3,856,8,1062,7.8,302,8.1,2044,8.4,5,8.3,720,8,918,7.8,236,8,330,7,2,8.3,117,7.8,132,8.2,64,"['episode title spoken by character', ""reference to 'rocky ii' 1979"", 'reference to china', 'reference to megan fox']"
125,Classy Christmas,7,"Michael could not be happier when Toby has to take a leave of absence and corporate sends Holly Flax to cover for him. Pam is forced to do a second Christmas party after Michael wants the party to be on the day Holly returns to Scranton. Meanwhile, Jim regrets agreeing to a snowball fight with Dwight.","[1857, 1410, 757, 235, 90, 30, 14, 9, 6, 127]",8.8,834,8.8,1428,8.9,4535,8.9,10,9.1,1080,8.7,1259,8.3,363,8.8,2481,9,5,9.1,903,8.7,1084,8.3,285,8.8,415,9.5,2,9.2,152,8.6,160,8.5,76,"['christmas episode', 'christmas party', 'episode title spoken by character', 'reference to icarly', 'reference to toy story', '7 more']"
126,Ultimatum,3,"Michael prepares himself for the good or bad news about Holly and her boyfriend. In an effort to be an ""awesome"" office manager, Pam decides to put up a resolution board for everyone to post their New Year's resolutions.","[813, 692, 1319, 516, 139, 46, 12, 5, 3, 51]",8.1,703,8.1,1214,8.2,3596,7.8,9,8.3,872,8,1063,7.9,303,8.1,2076,8.4,5,8.3,736,8,927,7.8,241,8.3,319,8.5,2,8.5,118,8,124,8.4,61,"['nbc', 'new years', 'reference to kelly clarkson']"
127,The Seminar,2,"With Andy's sales at his lowest ever, he gets desperate and holds a small business seminar with the help of some special guests. Michael and Holly turn the event into an improv challenge. Meanwhile, Erin enlists some of her co-workers in her scrabble battle with Gabe.","[533, 292, 1060, 1010, 322, 103, 22, 10, 11, 61]",7.5,698,7.5,1153,7.6,3424,7.5,9,7.7,814,7.4,1043,7.4,305,7.5,2006,7.7,5,7.7,693,7.4,908,7.4,242,7.5,310,7,2,7.8,105,7.3,124,7.8,62,"['suspiria', 'reference to the shining', 'pantyhose']"
128,The Search,4,"When Jim gets an emergency phone call from Helene, he is forced to leave Michael in the bathroom of a gas station. Meanwhile, Holly, Erin, and Dwight set out on a journey to find Michael. Back at the office, Pam's artwork starts a captioning contest that seems to offend Gabe.","[1057, 976, 1150, 358, 123, 45, 18, 10, 4, 48]",8.4,735,8.3,1249,8.4,3789,8.9,9,8.6,915,8.2,1115,8.2,312,8.4,2151,9.2,5,8.6,772,8.2,960,8.1,243,8.4,356,8.5,2,8.7,120,8.1,143,8.8,68,"['nbc', 'husband wife relationship', 'couple gets back together']"
129,PDA,4,"It's Valentine's Day in the Office and the public displays of affection between Michael and Holly are making everyone uncomfortable. The aftermath of a bottomless champagne lunch causes complications for Jim and Pam. After Gabe designs a romantic treasure hunt for Erin, Andy tags along.","[928, 867, 1209, 424, 119, 44, 20, 10, 8, 55]",8.3,734,8.2,1216,8.3,3684,8.4,9,8.5,873,8.1,1091,8.1,315,8.3,2105,9,5,8.5,740,8.2,942,8,244,8.3,345,7.5,2,8.6,118,8,138,8.7,70,"['husband wife relationship', 'husband wife kiss', 'husband wife sex', 'boyfriend girlfriend relationship', 'boyfriend girlfriend kiss', '1 more']"
130,Threat Level Midnight,18,"After eleven years of writing, shooting, re-shooting and editing, Michael is finally ready to present his long-awaited action movie, ""Threat Level Midnight,"" to his coworkers and love interest Holly. But is he ready for their reactions? ""Threat Level Midnight"" stars Michael Scott as ""Agent Michael Scarn,"" Dwight Schrute as Scarn's butler sidekick, and Jim Halpert as archnemesis ""Goldenface,"" along with many familiar faces from Michael's past.","[5250, 1427, 550, 214, 97, 50, 20, 20, 16, 175]",9.1,1230,9.2,2190,9.4,7819,10,18,9.5,1889,9.1,1925,8.7,452,9.3,3968,9.9,13,9.5,1553,9.1,1617,8.6,348,9.3,729,10,2,9.5,275,9.1,285,8.8,99,"['episode title spoken by character', 'hockey', 'puck', 'bomb', 'spy', '17 more']"
131,Todd Packer,2,"After many years and motel rooms, Dunder Mifflin traveling salesman (and Michael Scott's best friend) Todd Packer is ready to leave the road behind and take a desk job in the office. However, it remains to be seen if Jim, Dwight, Holly and the rest of the office are ready for Todd. Elsewhere, after his computer freezes for the millionth time, Andy battles office administrator Pam for a new computer.","[438, 185, 993, 1092, 378, 126, 31, 18, 13, 84]",7.4,691,7.3,1126,7.4,3358,7.1,9,7.4,793,7.3,1013,7.3,300,7.3,1956,7.9,5,7.4,681,7.3,882,7.3,232,7.4,303,6,2,7.6,99,7.1,121,7.6,67,"['reference to edgar allan poe', 'reference to justin bieber', 'reference to bill cosby', 'reference to vivica fox', 'reference to jennifer aniston', '7 more']"
132,Garage Sale,15,Michael decides to propose to Holly.,"[3721, 1381, 504, 174, 63, 29, 9, 5, 6, 149]",9.2,1077,9.2,1813,9.3,6041,9.8,14,9.5,1455,9.1,1647,9,437,9.3,3255,9.6,9,9.5,1225,9.1,1379,9,335,9.3,578,10,2,9.5,194,9.1,245,9.1,98,"['boyfriend girlfriend relationship', 'boyfriend girlfriend kiss', 'marriage proposal', 'big reveal', 'reference to star wars', '4 more']"
133,Training Day,8,"The new manager, Deangelo Vickers, has everyone hoping to make good first impressions: Andy finds himself awkwardly typecast while Jim and Pam worry that they've come on too strong. Only Dwight is apathetic about the new leader.","[540, 325, 1171, 887, 290, 103, 44, 25, 17, 81]",7.7,735,7.6,1169,7.6,3483,7.4,9,7.7,822,7.6,1070,7.6,320,7.7,2056,8,5,7.7,706,7.6,935,7.5,249,7.5,310,7.5,2,7.7,101,7.3,123,7.9,70,['nbc']
134,Michael's Last Dundies,7,Michael trains Deangelo to take over the job of hosting the Dundie Awards.,"[2292, 1460, 726, 244, 104, 31, 14, 12, 8, 102]",8.7,902,8.8,1512,8.9,4993,9.5,14,9.2,1167,8.7,1358,8.4,382,8.8,2649,9.6,9,9.1,968,8.7,1148,8.4,292,8.9,493,8.5,2,9.2,164,8.6,194,8.7,89,"['reference to star wars', 'girlfriend breaks up with boyfriend']"
135,"Goodbye, Michael",63,"Michael, about to leave for Colorado, wants a day without drama to say his goodbyes to each co-worker. Deangelo and Andy scramble to keep Michael's biggest clients.","[11378, 1121, 384, 155, 59, 40, 11, 14, 19, 270]",9.6,1815,9.7,3538,9.8,13451,10,23,9.9,3348,9.6,3088,9.3,591,9.7,6701,10,14,9.9,2824,9.6,2596,9.2,451,9.7,1093,7.5,4,9.8,405,9.5,450,9.5,133,"['paintball', 'last day on the job']"
136,The Inner Circle,6,"Tensions rise and feelings are hurt when Deangelo creates an ""inner circle"" at the office--which is only composed of men.","[485, 291, 1097, 919, 346, 117, 51, 35, 24, 111]",7.6,709,7.5,1175,7.5,3476,7.2,9,7.6,820,7.5,1050,7.4,324,7.5,2023,8,5,7.6,697,7.5,913,7.3,255,7.5,321,3.5,2,7.5,107,7.2,127,8,68,"['basketball', 'reference to rango']"
137,"Dwight K. Schrute, (Acting) Manager",5,"When Jim rejects Jo's offer, Dwight becomes acting manager at the Scranton branch, but an accident could cause his tenure to be short-lived.","[1134, 1207, 947, 290, 92, 38, 12, 9, 5, 71]",8.5,762,8.5,1222,8.6,3805,8.8,9,8.7,881,8.4,1113,8.3,342,8.5,2160,9,5,8.8,751,8.4,973,8.2,261,8.5,337,5,2,8.7,111,8.1,130,8.9,79,"['reference to austin powers', 'reference to 28 days later', 'accidentally firing a gun']"
138,Search Committee,7,"Jim heads a search committee that interviews candidates, including Andy and Darryl. Dwight tries to get back in the race.","[1247, 1252, 902, 308, 107, 50, 22, 9, 8, 101]",8.6,829,8.5,1356,8.6,4006,9.1,9,8.8,931,8.5,1259,8.4,377,8.6,2350,9.4,5,8.8,799,8.5,1087,8.4,297,8.5,374,4.5,2,8.7,115,8.3,161,8.9,79,"['reference to sesame street', ""reference to 'the view' talk show""]"
139,The List,9,"New Dunder Mifflin CEO Robert California leaves a piece of paper with a line down the middle that has names of the Scranton staff on either side of it, leading everyone to try and figure out what it means.","[752, 593, 1329, 572, 180, 74, 20, 28, 12, 95]",8,785,7.9,1219,8,3655,7.7,9,8.1,851,7.9,1157,7.8,332,8,2137,8,5,8.1,722,7.9,986,7.8,257,8,364,4,2,8.3,113,7.9,159,8.2,73,"['husband wife relationship', 'husband wife kiss', 'drawing of penis', 'reference to circumcision', 'enforcer', '5 more']"
140,The Incentive,4,"After a rousing motivational speech, Robert California challenges the office to double their sales. After the new manager promises the unthinkable, everyone in the office suddenly gets motivated to sell. Meanwhile, Pam finds an unlikely pregnancy friend.","[710, 563, 1289, 519, 181, 57, 26, 15, 11, 86]",8,722,7.9,1147,8,3457,8,9,8.2,816,7.9,1054,7.8,311,8,2010,8.4,5,8.1,694,7.9,903,7.7,237,8.2,338,4.5,2,8.4,109,8,138,8.5,73,"['incentive program', 'tattoo on butt', 'tattoo']"
141,Lotto,5,"After the warehouse guys win the lotto and quit, everyone in the office dreams of what it would be like to win big. Andy and Darryl search for new warehouse employees while Jim, Erin, Dwight and Kevin get a taste of warehouse life.","[430, 184, 716, 1130, 440, 153, 59, 40, 21, 128]",7.2,716,7.1,1088,7.2,3301,7.3,9,7.3,773,7.1,1015,7.1,316,7.1,1932,7.5,5,7.3,657,7.1,875,7,241,7.3,322,3.5,2,7.5,102,7,129,7.8,74,"['lottery ticket', 'reference to michael vick', 'dog', 'warehouse', 'lottery', '4 more']"
142,Garden Party,10,"Andy decides to throw a garden party to impress Robert California. Dwight researches how to host a garden party and thinks he has made it a very classy event. Meanwhile, Andy's parents and brother attend but make him feel self-conscious.","[780, 669, 1227, 551, 172, 80, 35, 14, 14, 81]",8,739,7.9,1205,8,3623,7.8,10,8.2,857,7.9,1087,7.9,330,7.9,2073,8.1,6,8.1,721,7.8,926,7.7,249,8.2,376,7.5,2,8.4,120,8,150,8.7,80,"['reference to citizen kane', 'farm', 'garden party', 'basil', 'marmalade', '1 more']"
143,Spooked,5,"Erin is worried that she is about to get fired after she organizes a disastrous office Halloween party for Robert and his son. Meanwhile, Robert probes the minds of the employees to come up with the perfect spooky story.","[499, 254, 930, 923, 325, 117, 47, 26, 20, 101]",7.5,680,7.3,1086,7.4,3242,7.5,8,7.6,765,7.3,991,7.3,298,7.4,1894,8,5,7.5,650,7.2,852,7.2,232,7.7,309,6,1,7.8,101,7.5,128,8.1,65,"['halloween episode', 'reference to rise of the planet of the apes', ""reference to wendy's"", 'halloween party', 'halloween', '14 more']"
144,Doomsday,6,Dwight tries to help the office's efficiency by installing a Doomsday device that will get them all fired if they make too many mistakes.,"[469, 260, 997, 854, 283, 103, 45, 19, 20, 73]",7.6,643,7.4,1069,7.5,3123,7.5,7,7.6,748,7.4,944,7.4,286,7.5,1833,8,5,7.6,637,7.4,815,7.3,219,7.7,296,-,0,7.9,98,7.5,118,7.9,66,[]
145,Pam's Replacement,10,"Pregnant Pam recruits Dwight to prove that Jim finds the office's pretty new temp attractive. Meanwhile, Robert California shocks Andy, Darryl, and Kevin when he asks to join their band.","[576, 324, 1068, 816, 295, 101, 41, 31, 20, 82]",7.6,687,7.6,1139,7.6,3354,6.7,7,7.7,789,7.5,1030,7.5,315,7.6,1945,7.7,5,7.7,660,7.5,885,7.4,235,7.6,341,-,0,7.8,112,7.4,135,7.8,79,['friend']
146,Gettysburg,7,Andy (Ed Helms) decides to motivate and inspire everyone by taking them on a field trip to Gettysburg. Some people in the office stay behind and Robert California (two-time Emmy Award winner James Spader) asks them to come up with Dunder Mifflin/Sabre's next big idea.,"[426, 123, 437, 999, 713, 283, 99, 75, 42, 151]",6.9,707,6.6,1102,6.7,3348,6.7,7,6.8,786,6.6,1027,6.8,312,6.7,1959,7.2,5,6.7,673,6.6,885,6.7,239,7,319,-,0,7.2,101,6.7,131,7.7,72,"['nbc', 'bus ride', 'gettysburg', 'reference to abraham lincoln', 'reference to mary todd lincoln']"
147,Mrs. California,8,"Robert California brings his wife into the office to find her a job. Meanwhile, Dwight opens a gym in the building.","[537, 316, 995, 821, 322, 116, 45, 22, 17, 79]",7.5,674,7.5,1119,7.6,3270,7.2,7,7.7,773,7.4,1004,7.5,305,7.5,1924,7.8,5,7.7,659,7.5,867,7.4,232,7.6,312,-,0,7.9,97,7.4,128,7.8,72,[]
148,Christmas Wishes,3,"Andy tries to make this year's Christmas the best ever by granting each person's holiday wishes. Meanwhile, Robert California tries to drown his sorrows at the office party.","[593, 335, 1192, 645, 226, 73, 38, 11, 8, 74]",7.8,665,7.7,1081,7.8,3195,7.4,7,7.9,770,7.7,966,7.6,309,7.8,1882,7.5,5,7.9,659,7.7,830,7.5,239,7.8,304,-,0,8.1,96,7.5,126,8,69,"['christmas episode', 'christmas', 'christmas party', 'nbc', 'reference to black eyed peas', '1 more']"
149,Trivia,2,"When Oscar joins a trivia night contest, Andy decides to get the whole office involved. Meanwhile, Dwight visits Sabre headquarters to explore other job opportunities.","[516, 373, 1215, 694, 170, 71, 29, 19, 7, 71]",7.8,671,7.7,1068,7.8,3165,7.9,7,7.9,747,7.6,972,7.7,295,7.7,1850,8.2,5,7.9,631,7.6,839,7.6,224,7.9,309,-,0,8.1,102,7.7,122,8.1,70,"['trivia game', 'bar', 'gay bar', 'wrestling']"
150,Pool Party,4,"Robert throws a party for the Dunder Mifflin staff at his house before he puts it on the market because his divorce. At the party, Erin and Dwight agree to flirt with each other to make Andy jealous, and Jim tries in vain to duck out early.","[674, 566, 1208, 544, 227, 74, 27, 22, 15, 76]",7.8,706,7.9,1143,7.9,3433,8,7,8.1,805,7.8,1042,7.7,311,7.9,1964,8,5,8.1,677,7.8,894,7.6,233,8,346,-,0,8.3,114,7.8,137,8.2,77,"['reference to the shining', 'radio disney', 'reference to pam beesly', 'wine', 'nbc', '7 more']"
151,Jury Duty,3,"After Jim returns from jury duty, Dwight questions him on every detail of his case. Meanwhile, Angela and the senator welcome their new baby.","[456, 195, 801, 1023, 321, 115, 42, 19, 18, 98]",7.4,657,7.3,1040,7.4,3088,7.4,7,7.5,733,7.2,942,7.3,291,7.3,1800,7.5,5,7.5,622,7.2,809,7.2,222,7.6,308,-,0,8,101,7.3,122,7.9,68,[]
152,Special Project,3,"Andy puts Dwight in charge of a special project in Tallahassee, but Dwight doesn't like the team Andy's assembled for him. Meanwhile, Darryl tries to figure out the meaning of Val's Valentine's gift.","[454, 223, 1019, 854, 251, 89, 29, 15, 10, 68]",7.6,635,7.5,1025,7.5,3012,7.4,7,7.7,729,7.4,915,7.6,282,7.5,1785,7.9,5,7.6,625,7.5,796,7.5,215,7.6,279,-,0,7.9,90,7.2,110,8,66,"[""valentine's day""]"
153,Tallahassee,5,"After Dwight and his team arrive in Tallahassee, Dwight competes with his Dunder Mifflin coworkers to impress Sabre special projects president, Nellie Bertram. Back in Scranton, Andy avoids being manager when several people in the office demand raises.","[527, 360, 1153, 667, 234, 83, 29, 27, 17, 83]",7.7,663,7.7,1080,7.7,3180,7.7,7,7.8,755,7.6,963,7.6,299,7.7,1858,7.9,5,7.8,646,7.6,830,7.5,229,7.7,300,-,0,8,96,7.4,120,7.9,69,"['appendicitis', 'female stockinged feet', 'pantyhose', 'presentation']"
154,After Hours,4,"In Tallahassee, Dwight and Packer compete to become Nellie's VP, and Jim gets an unwelcome visitor in his room. Meanwhile, Andy makes everyone in the office stay late to cover for the people that went to Florida.","[678, 520, 1222, 501, 168, 71, 27, 16, 17, 78]",7.9,679,7.9,1094,8,3298,7.9,7,8.1,789,7.8,973,7.8,303,7.9,1911,8.2,5,8.1,675,7.8,843,7.7,232,7.9,308,-,0,8.3,102,7.6,118,8,70,['nbc']
155,Test the Store,3,"Dwight prepares a theatrical presentation to impress Nellie at the Sabre Store opening. In Scranton, Andy shows up to work with an embarrassing injury.","[555, 331, 1111, 699, 216, 79, 32, 21, 14, 88]",7.7,641,7.6,1061,7.7,3146,7.9,7,7.9,753,7.5,934,7.5,298,7.7,1810,7.9,5,7.9,635,7.6,801,7.5,224,7.8,313,-,0,8.1,105,7.5,120,7.7,73,"['self defense class', 'pantyhose']"
156,Last Day in Florida,4,"After Robert California reveals that he hates Nellie's business plan, Jim tries to save Dwight from being fired. Meanwhile, Andy learns that Erin isn't coming back to Scranton.","[497, 335, 1069, 712, 215, 86, 31, 21, 15, 80]",7.7,637,7.6,1034,7.7,3061,7.9,7,7.8,733,7.5,920,7.6,288,7.7,1787,7.9,5,7.8,627,7.5,792,7.6,218,7.7,294,-,0,7.9,94,7.4,116,7.9,69,"['reference to star wars', 'reference to tumblr']"
157,Get the Girl,24,"Andy makes a life altering decision and drives across the country to get Erin. Meanwhile, Nellie shows up in Scranton and tries to claim the manager position.","[406, 118, 393, 889, 696, 317, 153, 114, 96, 401]",6.5,725,6.5,1156,6.4,3583,6.5,8,6.5,826,6.4,1078,6.8,321,6.5,2032,7.4,5,6.5,704,6.3,920,6.7,243,6.8,339,-,0,7,103,6.5,143,7.3,75,"['reference to dumbo', 'couple gets back together']"
158,Welcome Party,6,"Robert makes the office throw a welcome party for Nellie, and the party planners try to sabotage it. Meanwhile, Andy and Erin practice how Andy will break up with Jessica.","[421, 117, 527, 1007, 511, 213, 71, 55, 37, 200]",7,667,6.9,1049,6.9,3159,7.1,7,7,758,6.8,952,6.9,305,6.9,1843,7.9,5,7,645,6.8,823,6.8,231,7.1,306,-,0,7.3,99,6.8,118,7.4,73,"['boyfriend girlfriend relationship', 'husband wife relationship', 'party', 'magician']"
159,Angry Andy,28,"Andy and Erin return to Dunder Mifflin, only to discover that Nellie has taken his job and office and refuses to give them up. Meanwhile, Ryan becomes jealous after Pam tries to play matchmaker for Kelly.","[472, 152, 538, 957, 511, 207, 116, 81, 85, 325]",6.9,704,6.8,1123,6.8,3444,6.7,7,6.9,821,6.8,1017,6.9,319,6.8,1977,7.2,5,6.8,698,6.8,873,6.8,244,7.2,325,-,0,7.4,105,6.9,133,7.6,72,"['boyfriend girlfriend relationship', 'boyfriend girlfriend sex', 'reference to the x men', 'horse']"
