,episode_name,userReviewsNum,storyLine,ratings_distribution,US_ratings,US_votenums,nonUS_ratings,nonUS_votenums,All_All_rating,All_All_totalVotesNum,All_<18_rating,All_<18_totalVotesNum,All_18-29_rating,All_18-29_totalVotesNum,All_30-44_rating,All_30-44_totalVotesNum,All_45+_rating,All_45+_totalVotesNum,Male_All_rating,Male_All_totalVotesNum,Male_<18_rating,Male_<18_totalVotesNum,Male_18-29_rating,Male_18-29_totalVotesNum,Male_30-44_rating,Male_30-44_totalVotesNum,Male_45+_rating,Male_45+_totalVotesNum,Female_All_rating,Female_All_totalVotesNum,Female_<18_rating,Female_<18_totalVotesNum,Female_18-29_rating,Female_18-29_totalVotesNum,Female_30-44_rating,Female_30-44_totalVotesNum,Female_45+_rating,Female_45+_totalVotesNum,keyWords
32,Initiation,8,"Dwight takes new full-timer Ryan (B.J. Novak, who also wrote the episode) out on his first sales call, but he puts the novice through a series of demanding tests and challenges, not to mention an unnecessary excursion to the Schrute family beet farm. Meanwhile, Michael is ordered by corporate to log his work activity; and Jim tries to adapt to life at the Stamford branch.","[824, 697, 1820, 819, 236, 68, 19, 4, 25, 80]",8.1,968,7.8,1520,8,4592,7.7,14,8,1041,7.9,1393,7.8,435,7.9,2636,7.8,10,8,891,7.9,1197,7.7,338,8,429,8,2,8.1,132,7.9,180,8.2,94,"['farm', 'egg', 'pretzel']"
33,Diwali,5,"Michael encourages the entire Scranton branch to support Kelly and attend a local celebration of Diwali, the Hindu Festival of Lights. Meanwhile, Andy convinces Jim to turn a late night of work into a drinking game.","[846, 656, 1694, 1025, 334, 95, 25, 18, 20, 101]",8,1013,7.7,1575,7.8,4814,6.5,14,7.9,1069,7.7,1469,7.8,453,7.8,2734,7.8,9,7.8,911,7.7,1251,7.7,349,7.9,467,3,3,8,139,7.8,201,8.2,101,"['diwali', 'nbc', 'boyfriend girlfriend relationship', 'reference to beyonce', 'reference to lord of the rings']"
34,Branch Closing,6,"When Jan tells Michael that the Scranton Branch will be shutting down, Michael strives to keep his staff's spirits up. Meanwhile, everyone privately begins to envision how their lives will change in the aftermath.","[1136, 1469, 1403, 445, 127, 32, 8, 1, 16, 88]",8.6,977,8.4,1546,8.5,4725,8,13,8.5,1052,8.4,1425,8.2,437,8.5,2684,8.4,10,8.6,900,8.4,1218,8.2,344,8.3,437,8,1,8.5,133,8.1,191,8.4,90,['staff']
35,The Merger,3,Jan informs Michael that the Scanton branch of Dunder Mifflin will be merging with the Stamford Branch. Jim and Pam are reunited while the other employees of both branches must adjust to their new co-workers.,"[1393, 1639, 1197, 421, 111, 40, 8, 11, 21, 84]",8.7,1030,8.5,1584,8.6,4925,8,15,8.7,1081,8.6,1489,8.3,449,8.6,2782,8.4,12,8.7,920,8.6,1267,8.2,355,8.4,458,8,1,8.5,138,8.3,206,8.4,91,[]
36,The Convict,8,"Michael learns that one of the new employees at Dunder Mifflin Scranton has a criminal record. Meanwhile, Jim helps Andy make a move on Pam.","[1161, 996, 1662, 718, 191, 58, 15, 11, 19, 100]",8.3,1058,8,1577,8.2,4931,8.3,16,8.2,1081,8.1,1501,7.9,461,8.1,2781,8.2,11,8.2,919,8.1,1272,7.9,355,8.1,482,8.7,3,8.2,137,8,211,8.1,103,"['criminal', 'reference to harry potter']"
37,A Benihana Christmas,5,"In a special one hour Christmas episode, Michael sends out an inappropriate Christmas Card which lands him in hot water with his girlfriend Carol. Meanwhile tensions mount on the party planning committee between Angela, Pam and Karen. The resulting tension leave the office with two competing Christmas parties.","[1663, 1700, 1141, 391, 139, 37, 19, 7, 19, 105]",8.8,1159,8.5,1627,8.7,5221,8.5,17,8.7,1126,8.6,1589,8.4,500,8.7,2936,8.8,12,8.7,964,8.6,1336,8.4,389,8.7,508,7,2,8.7,136,8.5,234,8.9,107,"['christmas episode', 'boyfriend girlfriend relationship', 'bicycle', 'karaoke', 'christmas']"
38,Back from Vacation,5,"Michael returns from his Jamaican vacation healthy and revitalized, but it is short lived as a saucy photograph from his vacation begins circulating around the office. Meanwhile, Jim and Karen have an argument and Pam is caught right in the middle of it.","[1161, 1377, 1435, 427, 129, 34, 8, 6, 18, 86]",8.6,983,8.4,1542,8.5,4681,8.7,14,8.5,1047,8.4,1427,8.3,440,8.5,2666,8.9,10,8.5,894,8.5,1215,8.2,339,8.4,450,8,2,8.6,134,8.2,198,8.8,96,['accident']
39,Traveling Salesmen,7,"Dwight does a favor for Angela to keep her from getting in trouble. Andy finds out and uses it against him to get in tighter with Michael. Now Dwight must fess up, which will reveal his relationship with Angela, or risk getting fired.","[1214, 1431, 1342, 466, 109, 32, 10, 4, 26, 82]",8.6,1013,8.4,1538,8.5,4716,8.6,14,8.6,1047,8.5,1447,8.3,452,8.5,2681,8.7,10,8.6,893,8.5,1223,8.2,343,8.5,469,9,2,8.6,133,8.4,207,8.7,106,[]
40,The Return,7,"Oscar Martinez returns to the office after a prolonged vacation with his boyfriend Gill, with mixed feelings about whether or not he still wants to work at Dunder Mifflin. Meanwhile, Jim turns to Karen and Pam to plan a prank on a new victim.","[1608, 1656, 1066, 365, 93, 32, 12, 4, 21, 101]",8.8,1063,8.6,1572,8.7,4958,9,15,8.8,1098,8.7,1502,8.4,453,8.7,2779,9,10,8.8,936,8.7,1270,8.4,346,8.7,485,8.5,2,8.8,139,8.6,217,8.9,103,"['party', 'reference to battlestar galactica']"
41,Ben Franklin,3,"Since Phyllis is holding a bachelorette party in the office, Michael decides to hold a bachelor party in the warehouse downstairs. He assigns Jim to find a stripper for the women while he and Ryan are out finding dirty tricks for the bachelor party. Instead, Jim hires a Ben Franklin scholar for the women to enjoy. The bachelor party doesn't go as planned because none of the men want to participate with the stripper except Michael, who quickly feels uncomfortable because he has a girlfriend. Meanwhile, upstairs, Pam and Karen share a small conversation, during which Karen questions Pam about her feelings for Jim. With the ending of the bachelorette party, Ben Franklin hits on Pam and has an intense game of Ben Franklin trivia with Dwight.","[800, 745, 1708, 847, 272, 82, 19, 9, 12, 85]",8.2,1017,7.8,1478,8,4579,7.3,11,8,1011,7.9,1429,7.8,429,7.9,2603,7.4,8,8,856,7.9,1207,7.7,330,8.1,460,7,1,8.2,136,7.9,204,8.2,96,"['female stripper', 'reference to benjamin franklin']"
